Trial Name,Leading Organization,Other Leading Organization(s),Organization Type,Primary CDR Method,All CDR Methods,Status,Start of Pilot,End of Pilot,Duration of Pilot,Goals of Pilot / Field Trial,Relevance for Path to Commercial,Planned Sequestration (tons CO2),Sequestration per year (tons CO2/year),Partners or Collaborator,MRV Provider,MRV Strategy,Monitoring Platforms,Measurements,Lessons Learned,Followup Trial Expected,Location,Organization-specific: Input(s),Organization-specific: Output(s),Organization-specific: CDR Location (Requirements),Latitude,longitude,URL
First of a kind Direct Ocean Capture facility on the North Sea Coast,SeaO2,,Start-up,Direct Ocean Capture,Direct Ocean Capture,Submitted Proposal,05/2024,,Years,"Scaling up, ecosystem study in large relevant scale in the sea","We aim to reach 1 MtCO2/yr capacity by 2030. To do so, we need to confirm MRV and reduce the energy consumption of the method as well as scaling up. Therefore, the pilot tests are very relevant for commercialization.
We have also sold part of the tonnes already via a repurchase agreement which owe will remove using our pilot. 
",400,250,NIOZ,Several,"MRV internally and externally through modeling and measurements. 
Verification via external party which still needs to be confirmed.
General available sensors to measure water pH, temperature, DIC and O2 level.
","Bottle samples,Tanks or Mesocosms","pH,Dissolved inorganic carbon,Dissolved oxygen,Temperature,Salinity,Current,Air-sea gas exchange,Wind speed,Stream of CO2,Total suspended solids,Flow velocity",,Will remain in operation as R&D location,North Sea-Netherlands,"Renewable Energy,Seawater","Stream of CO2,De-acidified and decarbonized seawater","Renewable energy nearby,Long-term burial site within range,Sequestration nearby,Existing laboratories nearby,Suitable ocean conditions (general),No downwelling zones nearby",,,https://www.seao2.com/
Testing decomposition rate of materials in the anoxic Black Sea,Rewind,,Start-up,,"Biomass Sinking,Anoxic Zone Storage",Concluded,08/2022,September 2023,Months,Examine the decomposition rate of different organic materials in the anoxic Black Sea,Ensure slow organic materials decomposition rate in the anoxic Black Sea.,N/A,,,Measurement-Internal,The dry mass of the different OM was measured prior and following its deployment. All measurements were internal,"Bottle samples,Boat-based measurements,Moorings","Temperature,Dissolved oxygen,Dry mass","Wood (oak) decomposition was the slowest followed by vine branches, corm stems, and straw.",,https://maps.app.goo.gl/uMzeLbkhUMvhcC7M9,"Seawater,Other,Organic materials","Dissolved inorganic carbon,Sunk organic carbon","Offshore,No strong currents,Deep water,Other,Anoxic Conditions",42.0901630,41.1183660,https://www.rewind.earth/#our-solution
Tests of the impact of materials used in research deployments off the Icelandic coastal shelf,Running Tide,,Start-up,Biomass Sinking ,"Biomass Sinking,Mineral-Based Ocean Alkalinity Enhancement",Concluded,05/2023,2024,Months,Benthic experiment on the coastal shelf to gain a more complete understanding of the potential sensitivity of benthic systems to the input of the materials used in research deployments. The coastal environment allows for more rapid data collection and affordable access to rapidly iterate on methodology.,"Real-world data on material interaction in the benthos, including ecological impact and carbon degradation rates.",N/A,,Sjótækni,N/A,,Bottle samples,"Salinity,Temperature,Current,Dissolved oxygen,Sediment cores,Microbial analysis",Ongoing,N/A,,"Renewable Energy,Seawater,Macroalgae sporophytes ,Alkaline rocks","Sunk organic carbon,Dissolved inorganic carbon","Permittability,Existing laboratories nearby,Macroalgae supply,Deep water,Nutrient supply,Historical MetOcean data available",,,https://www.runningtide.com/iceland
Fixed coastal sites in Iceland for R&D,Running Tide,,Start-up,Biomass Sinking ,"Biomass Sinking,Mineral-Based Ocean Alkalinity Enhancement",Stalled or Cancelled,TBD,N/A,Years,"Macroalgae experimentation at fixed coastal sites near Running Tide's Portland, Maine headquarters",Testing ground for macroalgae growth and different system iterations and verification of hardware tech.,N/A,,,Measurement-Internal,,Bottle samples,Algal growth,Ongoing; has allowed for system design iteration,N/A,https://goo.gl/maps/RfHFqs6DKDYzkV2s6,"Renewable Energy,Seawater,Macroalgae sporophytes ,Alkaline rocks","Sunk organic carbon,Dissolved inorganic carbon","Permittability,Existing laboratories nearby,Macroalgae supply,Deep water,Nutrient supply,Historical MetOcean data available",43.6670104,-70.2115149,https://www.runningtide.com/iceland
"Pilot Project for Coastal Carbon Capture - Duck, North Carolina",Vesta,,Start-up,Mineral-Based Ocean Alkalinity Enhancement,"Enhanced Weathering,Mineral-Based Ocean Alkalinity Enhancement",Operating,05/2024,July 2024,Months,"This project is designed to help the world understand the role Coastal Carbon Capture could play in removing excess carbon dioxide from the atmosphere to minimize impacts of climate change.

Our goals are to deploy olivine sand as a nearshore berm, monitor the effects to guide future projects and develop methods for tracking the movement of olivine sand.

Consistent with our commitment to transparency, our multi-year monitoring plan will be fully executed by independent third parties. The results of this pilot project will be shared publicly, through publicly available reports to regulators, and peer-reviewed scientific journals.","This is another step in the testing of coastal carbon capture, with a scale up from previous deposition of 500 cubic yards of olivine.  Vesta will continue to monitor for ecological impact as well as carbon removal efficiency with the monitoring program being led by Hourglass Climate - an independent research non-profit.

The North Carolina coast is attractive as a location since it's extensively studied and close to domestic sources of olivine.
",5671,5671,"US Army Corps of Engineers,Coastal Studies Institute,University of North Carolina Wilmington,Hourglass Climate,University of North Carolina Greensboro",Verification-Third Party,"The monitoring program encompasses a suite of hydrodynamic geochemical, sedimentological, and ecological parameters observed pre- and post- deployment in both control and treatment areas. This follows a Before-After-Control-Impact (BACI) design. Vesta began collecting baseline measurements in June 2023.
","Multiparameter Sonde Deployments,Bottle samples,Benthic Flux Chambers,Sediment Core Surveys","pH,Dissolved oxygen,Total algae,Turbidity,Temperature,Salinity,Iron,Hydrogen sulfide concentration,Total alkalinity,Dissolved inorganic carbon,Nutrients,Trace metals,Total inorganic carbon,Total organic carbon,Microbial analysis,Benthic fauna analysis,Phytoplankton,Zoooplankton",,,https://maps.app.goo.gl/9nmhCLQfwSKfwDjD7,Alkaline rocks,De-acidified and decarbonized seawater,"Permittability,Green alkalinity supply nearby,Community Engagement,No high-risk marine ecosystems,Existing laboratories nearby,No downwelling zones nearby,High energy wave environment",36.1800000,-75.7500000,https://www.vesta.earth/duck
Impacts of varying Si:N ratio in artificially upwelled water on trophic transfer and carbon export in Gran Canaria 2019,GEOMAR,,Research Institution,Artificial Upwelling,Artificial Upwelling,Concluded,09/2019,October 2019,Weeks,"Considering that the silicate (Si) to nitrate (N) ratio of deep water varies greatly both with depth and across ocean basins, the goal of this study was to test which Si:N ratio in artificially upwelled water yields the highest efficiency in terms of trophic transfer and carbon export. In a 35-day long experiment with 8 mesocosms, we varied the Si:N ratio in our simulated upwelling between 0.07 and 1.33.",N/A,N/A,,"Bigelow Laboratory for Ocean Sciences,University Las Palmas Gran Canaria",Measurement-Internal,"Internal, covering over 40 physical, chemical and biological paramters.","Tanks or Mesocosms,Bottle samples,Dive teams","Total alkalinity,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,""Species richness, evenness and diversity"",Microbial analysis","Community biomass increased 10-fold across all mesocosms, indicating that basic bloom dynamics were upheld despite the wide range in nutrient composition. Key properties of these blooms, however, were influenced by Si. Photosynthetic capacity and nutrient use efficiency doubled from Si-poor to Si-rich upwelling, leading to C:N ratios as high as 17, well beyond Redfield. Si-rich upwelling also resulted in 6-fold higher diatom abundance and mineralized Si and a corresponding shift from smaller towards larger phytoplankton. The pronounced change in both plankton quantity (biomass) and quality (C:N ratio, size and mineral ballast) for trophic transfer and export underlines the pivotal role of Si in shaping the response of oligotrophic regions to upwelled nutrients. Our findings indicate a benefit of active Si management during artificial upwelling with the potential to optimize fisheries production and CO2 removal.",Wave pump test off Gran Canaria 2022,"https://www.google.de/maps/place/Muelle+de+Taliarte/@27.9900491,-15.3693232,20z/data=!4m6!3m5!1s0xc40bd2c5be3b06b:0xea6c555cc39ddb9c!8m2!3d27.9902031!4d-15.3692776!16s%2Fg%2F12135y6q?entry=ttu",,,,27.9900491,-15.3693232,https://www.frontiersin.org/articles/10.3389/fmars.2022.1015188/full
Effects of artificial upwelling on the ecology and biogeochemistry of a natural oligotrophic plankton community: Gran Canaria 2018,GEOMAR,,Research Institution,Artificial Upwelling,Artificial Upwelling,Concluded,10/2018,December 2018,Weeks,"The goal of this 37-day mesocosm study was to assess the effects of artificial upwelling on the ecology and biogeochemistry of a natural oligotrophic plankton community. Upwelling was simulated via two modes: i) a singular deep-water pulse and ii) a recurring supply every 4 days; each mode at four different intensities defined by the total amount of nitrate added which amounted 1.5, 3, 5.7, and 11 μmol L-1.",N/A,N/A,,Southern Cross University,Measurement-Internal,"Internal, covering over 45 physical, chemical and biological paramters.","Tanks or Mesocosms,Bottle samples,Underwater cameras,Dive teams","Total alkalinity,Dissolved inorganic carbon,Particulate inorganic carbon,Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,eDNA,Biological samples,Microbial analysis,""Species richness, evenness and diversity""","Primary production scaled linearly with upwelling intensity. Upwelling primarily benefitted larger phytoplankton size fractions, causing a shift from pico- and nano- to nano- and microphytoplankton. Recurring supply of upwelled waters generated higher efficiencies in primary production compared to single pulse addition. DOM accumulation increased with upwelling intensity, shifting DOM characteristics towards increased proportions of chromophoric DOM (CDOM) and humic-like DOM, whereby the single upwelling pulse generated higher CDOM quantities with higher molecular weight. Carbon export under artificial upwelling more than doubled, and the molar C:N ratios of sinking organic matter increased from values around Redfield (6.6) to 8–13, which is beneficial for carbon dioxide removal. Sinking matter, however, was remineralized faster and had lower sinking velocities, which led to shallower remineralization depths. Particle properties were more favorable for deep carbon export in the recurring upwelling mode, while in the singular mode the C:N increase of sinking matter was more pronounced.",Subsequently to this mesocosm experiment we have conducted one further mesocosm study about the optimal Si:N ratio in artificially upwelled water in Gran Canaria and one free drifting wave pump test in 2022,"https://www.google.de/maps/place/27%C2%B055'40.4%22N+15%C2%B021'51.6%22W/@27.927888,-15.3669082,17z/data=!3m1!4b1!4m4!3m3!8m2!3d27.9278833!4d-15.3643333?entry=ttu",,,,27.9278889,-15.3643333,https://www.frontiersin.org/articles/10.3389/fmars.2022.880550/full
Benthic experiment to study the degradation of biogenic substrates on the seafloor (Clayoquot Slope),Ocean Networks Canada,,"Start-up,Research Institution",Biomass Sinking ,Biomass Sinking,Operating,09/2023,2025,Years,"Benthic experiment to study the degradation of biogenic substrates on the seafloor at ONC's fixed and cabled sites off of Pacific Canada. Will include continuous measurements as well as limited, discrete sampling.","Real-world data on material interaction in the deep benthos, including ecological impact and carbon degradation rates. ",N/A,,,Measurement-Internal,"Custom benthic lander system developed by ONC for this experiment.
This includes: 
- Fixed camera sites and HD video, returning to site for sampling","Underwater cameras,Bottle samples","Salinity,Temperature,Current,Dissolved oxygen,Sediment cores,Microbial analysis",Ongoing,N/A,https://goo.gl/maps/f3vCpmJnH5HrX7VB6,"Renewable Energy,Seawater,Macroalgae sporophytes ,Alkaline rocks","Sunk organic carbon,Dissolved inorganic carbon,Stream of CO2","Permittability,Existing laboratories nearby,Macroalgae supply,Deep water,Nutrient supply,Historical MetOcean data available",48.7404657,-126.7878589,https://www.oceannetworks.ca/news-and-stories/stories/oncs-deep-sea-observatory-supporting-ocean-based-carbon-dioxide-removal-research/
Multiple tests of sargassum farms in St. Vincent and Grenadines ,Seafields Solutions,,Start-up,Biomass Sinking ,Biomass Sinking,Concluded,05/2022,December 2023,Years,"-        Built and test our barrier designs on functionality
-        Test whether our free-floating farm can be used as an anchored farm
-        Determine if Sargassum can be enclosed for 1 month and remain healthy and grow
-        Compare the farm design that is at the surface with the farm design that is 10 cm submerged in terms of Sargassum health and growth
-        Measurement of pCO2 concentration upstream, downstream and within the farm
-        Measurement of albedo over Sargassum in the farm and over the sea, as well as over a wild Sargassum mat
-        Documentation of fish interacting with the Sargassum farm
-        Determine the survival of Sargassum under different transport conditions
-        Determine if Sargassum can store nutrients over time
-        Measure the carbon update of Sargassum in farm and wild Sargassum and in Sargassum fertilised with volcanic ash and sand from the Canary Islands
-        Determination of species diversity in the farm environment, in wild Sargassum mats and in the bay without Sargassum by eDNA

","A functional anchored farm design can be used for ‘catch and grow’ farms in the Caribbean.
A functional free-floating barrier is needed for our long term plan to grow Sargassum in the South Atlantic gyre.
Testing the resilience of the infrastructure.",N/A,,"Collecte Localisation Services,Kelson Marine,Alfred-Wegener-Institute",N/A,N/A,"Satellites,Sofar Spotters,CTD,Underwater cameras,pCO2 Sensor,Oxygen Sensor","Current,Wave height,Nutrients,Temperature,Salinity,pH,Dissolved oxygen,Turbidity,Chlorophyll-a,Static and dynamic pressure,Wind speed,Light level (PAR),Hydrogen sulfide concentration,Light level,H2S,Particulate organic nitrogen,Particulate organic phosphorus,Albedo,eDNA,Biological samples,Carbon-13,Visual","-        Barrier design evolved to provide structural integrity during crosswinds.
-        Improved anchoring system to avoid unwanted drifting of farm. 
-        Sargassum growth achieved in stationary farm.

",Test farm leading to validation farm in 2024,https://goo.gl/maps/wNzGXkUAQUkct1zo9,,,,13.1609273,-61.2455824,https://www.seafields.eco/roadmap
Chesapeake Bay Wastewater Alkalinity Injection (NOPP),Planetary Technologies,University of Maryland Center for Environmental Science,Academic,Mineral-Based Ocean Alkalinity Enhancement,Mineral-Based Ocean Alkalinity Enhancement,Approved and in Planning Stage,08/2024,August 2025,Weeks,"Goals include:
(1) Quantify mCDR and estuarine alkalinity change in response to OAE deployed at wastewater treatment facility
(2) Quantify cost of implementation of OAE
(3) Measure environmental impact of OAE","N/A
",N/A,,"University of Delaware,Hampton Roads Sanitation District",Measurement-Internal,"The project team is doing MRV internally, using pre-existing, industry-standard sensors deployed by platforms owned and operated by the project team.","Bottle samples,Boat-based measurements,Autonomous Buoys,Moorings","pCO2,Total alkalinity,pH,Dissolved inorganic carbon,Particulate organic carbon,Particulate organic phosphorus,Dissolved oxygen,Temperature,Salinity,Air-sea gas exchange,Turbidity,Nutrients,Algal growth,Total algae,Phytoplankton,Chlorophyll-a,Biological samples,Trace metals,Total suspended solids,Sediment cores,Particulate organic nitrogen",n/a,n/a,https://maps.app.goo.gl/PuZL4xjVn5a5FeDF8,,,"Existing infrastructure available,Green alkalinity supply nearby,Near-shore,Permittability,Community Engagement",36.9552100,-76.3618380,https://oceanacidification.noaa.gov/fy23-nopp-mcdr-awards/
Testing decomposition rate differences in anoxic vs oxic conditions in Selket Noor,Rewind,,Start-up,,"Biomass Sinking,Anoxic Zone Storage",Concluded,05/2022,July 2022,Months,Examine decomposition rate differences between various organic materials in oxic and anoxic conditions,Ensure slower decomposition under anoxic conditions.,N/A,,,Measurement-Internal,The dry mass of the different OM was measured prior and following its deployment. All measurements were internal,"Bottle samples,Boat-based measurements,Moorings","Temperature,Salinity,Dry mass",Wood (Pine) decomposition was the slowest followed by straw and leak. ,,https://maps.app.goo.gl/HjSicyPkYS4zGTcc9,,,,54.4837740,9.5801750,https://www.rewind.earth/#our-solution
