Company,Sector,Activity_Type,mCDR Approach,Description
CarbonBlue,Private Sector,RD&D,Direct ocean capture,"CarbonBlue utilizes mineralization using lime and returning carbon dioxide depleted water to its source. Explore their field trial in Israel."
BlueGreen Water Technologies,Private Sector,RD&D,Biomass growing/harvesting/sinking,"BlueGreen Water Technologies works on using microalgae sinking for carbon storage."
Gigablue,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Gigablue works to increase phytoplankton aggregation and transport subsequently sequestering carbon."
West Africa Blue,Private Sector,RD&D,Ecosystem restoration,"West Africa Blue restores blue carbon ecosystems for carbon sequestration."
Pull to Refresh,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Pull to Refresh works on sinking macroalgae (sargassum) biomass for carbon removal."
Planeteers,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Planeteers deposits limestone in the ocean for carbon dioxide storage as hydrogen carbonate."
Brineworks,Private Sector,RD&D,Direct ocean capture,"Brineworks uses electroysis to extract CO2 and H2 from seawater."
Brilliant Planet,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Brilliant Planet works on growing microalgae in land-based ponds and burying biomass. Explore their field trials."
Seaweed Generation,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Seaweed Generation grows seaweed and develops robots to gather and sink seaweed. Explore their field trial in Antigua."
Trofx,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Trofx works on macroalage cultivation and nutrient upwelling."
Blue Carbon,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Blue Carbon works on ocean upwelling via autonomous oPod to promote phytoplankton growth and eventual carbon storage."
AltaSea,Non-Governmental Organization,"Research, Field building",Direct ocean capture,"AltaSea is a public-private ocean institute located at the Port of Los Angeles dedicated to fostering collaboration among science business and education sectors to promote a sustainable blue economy."
Skyology,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Skyology uses wave-powered reactors to accelerate the natural weathering of minerals to form carbonate and bicarbonate."
Limenet,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Limenet reacts CO2 with calcium carbonate to produce calcium bicarbonate."
Hourglass Climate,Non-Governmental Organization,"Field building, Research","Ocean alkalinity enhancement (electrochemical), Ocean alkalinity enhancement (mineral)","Hourglass Climate conducts independent research for the responsible development of ocean alkalinity enhancement."
Vlinder,Private Sector,RD&D,Ecosystem restoration,"Vlinder restores mangroves for carbon storage."
SeaO2,Private Sector,RD&D,Direct ocean capture,"SeaO2 uses electrodialysis based removal of carbon dioxide and storage in geological formations. Explore field trials in the North Sea Netherlands."
Seafields,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Seafields works to catch grow and sink Sargussum seaweed to store carbon dioxide in the deep ocean. Explore their field trials in St. Vincent Grenadines and Barbados."
Ocean Nourishment Corporation,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Ocean Nourishment Corporation works to increase phytoplankton growth and transport."
Exploring Ocean Iron Solutions (ExOIS),Non-Governmental Organization,"Research, Field building",Biomass growing/harvesting/sinking,"Exploring Ocean Iron Solutions (ExOIS) is a consortium designed to resolve the impact of enhanced iron fertilization on marine ecosystems and its potential for the removal of atmospheric carbon dioxide."
Sinkco Labs,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Sinkco Labs injects terrestrial waste biomass into marine sediments for carbon storage."
MacroCarbon,Private Sector,RD&D,Biomass growing/harvesting/sinking,"MacroCarbon uses seaweed cultivation for carbon storage though sustainable bioproducts."
Ceal Minerals,Private Sector,RD&D,Direct ocean capture,"Ceal Minerals uses electrochemical catalysis to capture CO2 from seawater and convert it into solid minerals."
Kelp Blue,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Kelp Blue uses the cultivation of giant kelp for carbon sequestration."
Phykos,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Phykos develops technology for autonomous ocean vessels and ocean sensing and works on growing seaweed for carbon capture."
Carbon Kapture,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Carbon Kapture works on growing harvesting and converting seaweed into biochar to capture CO2 and improve the health of agriculture soils."
Blusink,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Blusink deploys small disks in the ocean to act as a substrate for organisms to grow on and eventually transition into carbon nodules (rhodoliths) that sink to the seafloor."
SeaCURE,Private Sector,RD&D,Direct ocean capture,"SeaCURE uses direct ocean capture for carbon dioxide removal."
Arbon Earth,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Arbon Earth works on cultivating and sinking macroalgae biomass."
