trial_name,leading_organization,other_leading_organization,organization_type,all_cdr_methods,collaborators,mrv_provider,mrv_strategy,monitoring_platforms,measurements
Benthic experiment to study the degradation of biogenic substrates on the seafloor Clayoquot Slope,Ocean Networks Canada,[],"{""Startup"",""Research Institution""}","{""Biomass Sinking""}",[],"{""MeasurementInternal""}",Custom benthic lander system developed by ONC for this experimentThis includes Fixed camera sites and HD video returning to site for sampling,"{""Underwater cameras"",""Bottle samples""}","{""Salinity"",""Temperature"",""Current"",""Dissolved oxygen"",""Sediment cores"",""Microbial analysis""}"
Multiple tests of sargassum farms in St Vincent and Grenadines,Seafields Solutions,[],"{""Startup""}","{""Biomass Sinking""}","{""Collecte Localisation Services"",""Kelson Marine"",""AlfredWegenerInstitute""}",[],,"{""Satellites"",""Sofar Spotters"",""CTD"",""Underwater cameras"",""pCO2 Sensor"",""Oxygen Sensor""}","{""Current"",""Wave height"",""Nutrients"",""Temperature"",""Salinity"",""pH"",""Dissolved oxygen"",""Turbidity"",""Chlorophylla"",""Static and dynamic pressure"",""Wind speed"",""Light level PAR"",""Hydrogen sulfide concentration"",""Light level"",""H2S"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Albedo"",""eDNA"",""Biological samples"",""Carbon13"",""Visual""}"
Chesapeake Bay Wastewater Alkalinity Injection NOPP,Planetary Technologies,"{""University of Maryland Center for Environmental Science""}","{""Academic""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""University of Delaware"",""Hampton Roads Sanitation District""}","{""MeasurementInternal""}",The project team is doing MRV internally using preexisting industrystandard sensors deployed by platforms owned and operated by the project team,"{""Bottle samples"",""Boatbased measurements"",""Autonomous Buoys"",""Moorings""}","{""pCO2"",""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate organic carbon"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Airsea gas exchange"",""Turbidity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Trace metals"",""Total suspended solids"",""Sediment cores"",""Particulate organic nitrogen""}"
Testing decomposition rate differences in anoxic vs oxic conditions in Selket Noor,Rewind,[],"{""Startup""}","{""Biomass Sinking"",""Anoxic Zone Storage""}",[],"{""MeasurementInternal""}",The dry mass of the different OM was measured prior and following its deployment All measurements were internal,"{""Bottle samples"",""Boatbased measurements"",""Moorings""}","{""Temperature"",""Salinity"",""Dry mass""}"
Ocean Alkalinity Enhancement Mesocosm Research Trial in Bergen,GEOMAR,[],"{""Research Institution""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""University of Las Palmas Gran Canaria"",""University of Hamburg"",""Bigelow Laboratory for Ocean Sciences"",""Southern Cross University"",""University of Tasmania"",""University of Agder"",""Technical University of Denmark""}","{""MeasurementInternal""}",Internal covering over 45 physical chemical and biological parameters,"{""Tanks or Mesocosms"",""Bottle samples"",""Underwater cameras"",""Dive teams""}","{""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Microbial analysis"",""Species richness"",""evenness and diversity"",""Airsea gas exchange""}"
Olivine dispersal in tidal marsh ecosystems in Cape Cod Massachusetts,Vesta,"{""Woods Hole Oceanographic Institutions"",""US Geological Survey"",""US National Park Service""}","{""Startup""}","{""Enhanced Weathering"",""MineralBased Ocean Alkalinity Enhancement""}",[],"{""MeasurementInternal""}",monitoring ongoing similarly to Southhampton trials look for details in respective card ecology survey to look at community structure did them monthly from MayOctober restarting after winter sediment chore surveys on annual basis to not disturb too muc...,[],[]
Pilot of rapid fullymeasured alkalinity addition in Governors Island,Vycarb,[],"{""Startup""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""US National Park Service"",""Trust for Governors Island""}","{""Internal"",""MeasurementInternal"",""VerificationThird Party""}",Primary goal to validate internal direct measurementbased MRV using ancillary sampling and laboratory analyses to compare against direct insitu measurements Laboratory analyses TA titrations DIC analyzer coulometry performed internally and with externa...,"{""Bottle samples"",""Vycarb Field DIC Sensor""}","{""pCO2"",""pH"",""Total alkalinity"",""Dissolved inorganic carbon"",""Temperature"",""Salinity""}"
Research Deployments of terrestrial biomass coated alkaline materials off the Iceland EEZ,Running Tide,[],"{""Startup""}","{""Biomass Sinking"",""MineralBased Ocean Alkalinity Enhancement""}","{""Eimskip"",""Marine and Freshwater Research Institute""}","{""MeasurementInternal"",""ModelingInternal"",""VerificationThird Party"",""ReportingThird Party""}",Strategy covered in Running Tides Framework Protocol,[],[]
Ocean Alkalinity Enhancement Mesocosm Research Trial in Gran Canaria,GEOMAR,[],"{""Research Institution""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""University of Las Palmas Gran Canaria""}","{""MeasurementInternal""}",Internal covering over 45 physical chemical and biological paramters,"{""Tanks or Mesocosms"",""Bottle samples"",""Underwater cameras"",""Dive teams""}","{""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Turbidity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Microbial analysis"",""Species richness"",""evenness and diversity""}"
LOCNESS Trial 1 Tracking the movement of dye tracer to inform alkalinity dispersion,Woods Hole Oceanographic Institution,[],"{""Research Institution""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""NOAA"",""Rutgers University"",""MBARI""}","{""MeasurementInternal""}",Once released the red dye is visible to the naked eye for several hours after the deployment with small traces detectable by instruments for approximately 72 hoursThe science team will use fluorometer sensors on the ship towed senor package drifting bu...,"{""Drones"",""Satellites"",""Autonomous Drifters or Floats"",""Boatbased measurements""}",[]
Testing decomposition rate differences in anoxic vs oxic conditions in Lake Kinneret Sea of Galilee,Rewind,[],"{""Startup""}","{""Biomass Sinking"",""Anoxic Zone Storage""}",[],"{""MeasurementInternal""}",The dry mass of the different OM was measured prior and following its deployment All measurements were internal,"{""Bottle samples"",""Boatbased measurements"",""Moorings""}","{""Temperature"",""Salinity"",""Dry mass""}"
Halifax Harbour OAE Net Carbon Removal Pilot,Planetary Technologies,[],"{""Startup""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""Dalhousie University""}","{""VerificationThird Party"",""Several""}",Planetarys generalized MRV approach has been reviewed by numerous external parties including experts in the field and the general publi As a result it has undergone multiple revisions Version 3 of the MRV approach is available on the website httpswwwpl...,"{""Bottle samples"",""Boatbased measurements"",""Remotely Operated Vehicles"",""Autonomous Surface Vehicles"",""Moorings"",""Drones"",""Underwater cameras"",""CTD"",""pCO2 Sensor""}","{""pCO2"",""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Temperature"",""Salinity"",""EC"",""Turbidity"",""Chlorophylla"",""Phytoplankton"",""eDNA"",""Trace metals"",""Total suspended solids"",""Sediment cores"",""Dye fluorescence"",""Visual"",""Light level PAR"",""CTD""}"
Wave pump test off Gran Canaria,GEOMAR,"{""Ocean Based Climate Solutions""}","{""Research Institution""}","{""Artificial Upwelling""}",[],"{""MeasurementInternal""}",Flow meters installed track the spreading of the upwelled deep water in the surface layer by dye addition CTD,"{""Wave Pump""}","{""Temperature"",""Salinity"",""Wave height"",""Tracer fluorescence"",""Flow velocity""}"
Learning site Microalgae raceway ponds in Akhfennir Morocco,Brilliant Planet,[],"{""Startup""}","{""Ocean Nutrient Fertilization"",""Biomass Burial""}","{""University of Plymouth"",""University of Southampton"",""Scottish Association for Marine Science SAMS""}","{""MeasurementInternal"",""ModelingInternal""}",Internal combination of modeling and sensors Can actively see where water is going thanks to inhouse model relevant primarily for nutrient source information for intake of ocean water also usable for outflow water modeling placing sensors strategically...,"{""Satellites"",""Wavegliders"",""Saildrones"",""Moorings""}","{""pCO2"",""pH"",""Total alkalinity"",""Temperature"",""EC""}"
mCDR 2023 An opportunity to study Ocean Alkalinity Enhancement CDR and ecosystem impacts through coastal liming NOPP,University of Rhode Island,[],"{""Academic""}","{""Enhanced Weathering"",""MineralBased Ocean Alkalinity Enhancement""}","{""NOAA"",""University of Hawaii"",""Other"",""University of Connecticut"",""US EPA""}","{""MeasurementInternal""}",Calculate terms in carbon and alkalanity budgets by academic scientists using a combination of sensors bottle sample collection and airsea flux measurements,"{""Tanks or Mesocosms"",""Bottle samples"",""Boatbased measurements"",""Moorings""}","{""pCO2"",""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Current"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Airsea gas exchange"",""Wind speed"",""Nutrients"",""Biological samples""}"
Second of a kind electrochemical plant in Singapore,Equatic,[],"{""Startup""}","{""Electrochemical Ocean Alkalinity Enhancement""}",[],"{""Internal"",""CertificationThird Party""}",Primary CDR measured by online turbidity sensors Secondary CDR measured by comparing ion solutions in solution and solids quantity both in an closed system MRV process done in house with process certified by third party to get ISO certified,[],"{""Turbidity""}"
Impact of artifical upwelling on macroalgae growth in Aoshan Bay Shandong Province China,Xiamen University,[],"{""Academic""}","{""Artificial Upwelling"",""Macroalgae Sequestration""}","{""Zhejiang University""}","{""MeasurementInternal""}",httpswwwsciencedirectcomsciencearticlepiiS014111872030081X,"{""Boatbased measurements"",""Autonomous Buoys"",""CTD""}","{""Temperature"",""Nutrients"",""Microbial analysis"",""Algal growth"",""Seaweed growth rate""}"
Testing Algaray Robot to intercept and sink sargassum in Antigua,Seaweed Generation,[],"{""Startup""}","{""Biomass Sinking""}",[],"{""MeasurementInternal""}",All measurements were taken internally with a focus on AlgaRay operations over environmental data in this pilot,"{""Remotely Operated Vehicles"",""Underwater cameras""}","{""Visual""}"
Ocean Alkalinity Enhancement Mesocosm Research Trial in Helgoland,GEOMAR,"{""AlfredWegenerInstitute""}","{""Research Institution""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""University of Hamburg"",""Helmholtz Zentrum Hereon"",""University of the Azores"",""University of Las Palmas Gran Canaria"",""University of Applied Sciences Bremerhaven"",""Southern Cross University""}","{""MeasurementInternal""}",Internal covering over 45 physical chemical and biological parameters,"{""Tanks or Mesocosms"",""Bottle samples"",""Dive teams""}","{""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Airsea gas exchange"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Microbial analysis"",""Species richness"",""evenness and diversity"",""Trace metals""}"
Enclosed Benthic Chamber Experiments in the Baltic Sea,GEOMAR,[],"{""Research Institution""}","{""MineralBased Ocean Alkalinity Enhancement""}",[],"{""MeasurementInternal"",""ModelingInternal""}",1 internally2 Marine Geosystems Benthic Biogeochemistry adalegeomarde and Geomicrobiology mpernergeomarde3 Sensors Aandera O2 T conductivity Unisense H2S pH we own them4 GEOMAR own autonomous platforms5 sediment coring standardized procedures,"{""Benthic Lander""}","{""Total alkalinity"",""pH"",""Dissolved oxygen"",""Dissolved inorganic carbon"",""Temperature"",""Salinity"",""Nutrients"",""Microbial analysis"",""Biological samples"",""Hydrogen sulfide concentration"",""Sediment cores""}"
Pilot Integrating Direct Ocean Removal Process with a desalination facility in Maagan Michael Israel,CarbonBlue,"{""CWorthy""}","{""Startup""}","{""Direct Ocean Capture""}","{""CWorthy""}","{""ModelingInternal"",""Internal"",""MeasurementInternal""}",The MRV will be internal at that stage and included from 2025 onwards It will be a combination of observations and modeling We will develop the modeling internally in collaboration with CWorthy Observations will likely include autonomous platforms from...,[],"{""pCO2"",""pH"",""Particulate inorganic carbon"",""Dissolved inorganic carbon"",""Temperature"",""Total alkalinity"",""Airsea gas exchange"",""Current"",""Salinity"",""EC"",""Flow velocity"",""Stream of CO2"",""Turbidity"",""Total suspended solids""}"
Assessing the impact of OAE on a winter spring plankton community in Kiel Fjord Germany,GEOMAR,[],"{""Research Institution""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""Bigelow Laboratory for Ocean Sciences"",""Southern Cross University"",""University of Las Palmas Gran Canaria""}","{""Internal""}",Internal covering over 40 physical chemical and biological parameters,"{""Tanks or Mesocosms"",""Dive teams"",""Bottle samples""}","{""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Species richness"",""evenness and diversity"",""Sinking speed"",""CTD"",""Dissolved organic carbon""}"
Seawater sampling system and analytical method development for hypersaline brines Orca Basin Gulf of Mexico,Carboniferous,"{""University of California"",""Santa Barbara""}","{""Startup""}","{""Biomass Sinking"",""BiCRS Biomass with Carbon Removal and Storage"",""Anoxic Zone Storage""}","{""Indiana University""}","{""MeasurementInternal""}",Future MRV and net carbon removal will be validated by a third party but procedural specifics for this pilot project are not yet defined Water samples experimental landers and equipment are owned by Carboniferous andor UCSB and all samples and experime...,"{""Boatbased measurements"",""Bottle samples"",""Benthic Lander"",""CTD""}","{""pH"",""Total alkalinity"",""Dissolved inorganic carbon"",""Current"",""Nutrients"",""Dissolved organic carbon"",""Other"",""Methane"",""Hydrogen sulfide concentration"",""Sulfate"",""Colored dissolved organic matter cDOM""}"
Assess baseline conditions and test impacts of biomass sinking in Orca Basin brine and surrounding water column,Carboniferous,"{""University of California"",""Santa Barbara""}","{""Startup""}","{""Biomass Sinking"",""BiCRS Biomass with Carbon Removal and Storage"",""Anoxic Zone Storage""}",[],"{""MeasurementInternal""}",Internal Future MRV and net carbon removal will be validated by a third party but procedural specifics for this pilot project are not yet defined Carboniferous andor UCSB staff take measurements methodologies published in literature Sensors include sta...,"{""Bottle samples"",""Boatbased measurements"",""CTD""}","{""Salinity"",""Temperature"",""pH"",""Total alkalinity"",""Dissolved inorganic carbon"",""Current"",""Nutrients"",""Chlorophylla"",""CTD"",""Other"",""Methane"",""Sulfate"",""Hydrogen sulfide concentration""}"
Develop biomass placement operations and mooring design for placing 20T biomass in Orca Basin Gulf of Mexico,Carboniferous,[],"{""Startup""}","{""Biomass Sinking"",""BiCRS Biomass with Carbon Removal and Storage"",""Anoxic Zone Storage""}","{""Woods Hole Oceanographic Institutions"",""University of California"",""Santa Barbara"",""Louisiana State University""}","{""Internal"",""VerificationThird Party""}",Measurements and reporting will be done internally and verified by third party but procedural specifics for this project are not yet finalized Sensors for engineering tests will be owned by Carboniferous UCSB andor partners,"{""Boatbased measurements"",""Autonomous Underwater Vehicles AUV"",""Deepsea cameras"",""CTD""}","{""Current"",""Temperature"",""Salinity"",""Visual"",""Biomass sinking speed"",""Sinking speed""}"
Limenet La Spezia plant,Limenet,"{""Politecnico di Milano""}","{""Startup""}","{""MineralBased Ocean Alkalinity Enhancement""}","{""University of Hamburg"",""GEOMAR"",""Heriot Watt University""}","{""VerificationThird Party"",""ReportingThird Party"",""CertificationThird Party""}",1 Are you doing MRV internally or externallyWe are doing MRV internally supported by EGENIA Srl consultants who guides us in the writing for being compliant with ISO 140642 Limenet MRV is structured into 4 modules which comprise the entire flow process...,"{""Tanks or Mesocosms"",""Bottle samples"",""Boatbased measurements""}","{""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Temperature"",""Salinity"",""Turbidity""}"
Sea Upwelling In Bermuda,The SeaUpwelling Company,"{""Ocean Based Climate Solutions"",""Bermuda Institute of Ocean Sciences""}","{""Startup""}","{""Artificial Upwelling"",""Ocean Nutrient Fertilization"",""Macroalgae Sequestration"",""MineralBased Ocean Alkalinity Enhancement""}",[],[],This engineering trial is not implementing our MRV strategy or methodologies,"{""Boatbased measurements"",""Wave Pump""}","{""Current"",""Temperature"",""Wave height"",""Visual"",""Flow velocity""}"
Ocean Alkalinity Enhancement Mesocosms in Shenzhen,SUSTech Southern University of Science and Technology,[],"{""Academic"",""Research Institution""}","{""MineralBased Ocean Alkalinity Enhancement"",""Enhanced Weathering""}",[],"{""Several""}",MRV for the mesocosms is internal but we selected the Bay location because there are 4 independent monitoring networks within the Bay which can be leveraged to evaluate MRV efficiency,"{""Tanks or Mesocosms"",""Bottle samples"",""Boatbased measurements"",""pCO2 Sensor""}","{""pCO2"",""Total alkalinity"",""Dissolved inorganic carbon"",""Particulate organic carbon"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Turbidity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""eDNA"",""Biological samples"",""Microbial analysis"",""Species richness"",""evenness and diversity"",""Trace metals"",""Total suspended solids"",""Dissolved organic carbon"",""Light level PAR""}"
Test impact of OAE on a summer plankton community in Kiel Fjord Germany,GEOMAR,[],[],"{""MineralBased Ocean Alkalinity Enhancement""}","{""Bigelow Laboratory for Ocean Sciences"",""Southern Cross University"",""University of Las Palmas Gran Canaria""}","{""Internal""}",Internal covering over 40 physicalm chemical and biological parameters,"{""Tanks or Mesocosms"",""Bottle samples"",""CTD"",""Dive teams""}","{""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Species richness"",""evenness and diversity"",""Microbial analysis"",""Dissolved organic carbon"",""Biomass sinking speed"",""Light level PAR"",""Sinking speed"",""CTD""}"
Assessing the impact of OAE on autumn plankton community in Kiel Fjord Germany,GEOMAR,[],[],"{""MineralBased Ocean Alkalinity Enhancement""}","{""Bigelow Laboratory for Ocean Sciences"",""Southern Cross University"",""University of Las Palmas Gran Canaria""}","{""Internal""}",Internal covering over 40 physical chemical and biological parameters,"{""Tanks or Mesocosms"",""Bottle samples"",""Dive teams"",""CTD""}","{""Total alkalinity"",""pH"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Microbial analysis"",""Species richness"",""evenness and diversity"",""Dissolved organic carbon"",""Sinking speed"",""CTD"",""Light level PAR""}"
